,Date,Derived Earnings Growth,S&P,S&P Earnings,S&P SPS,S&P Margins,Actual Earnings Growth,Sales YoY Growth,Derived Margins
0,2000-01-04,,1399.42,48.66,635.79,0.07653470485537678,,,
1,2000-01-05,,1402.11,48.66,635.79,0.07653470485537678,,,
2,2000-01-06,,1403.45,48.66,635.79,0.07653470485537678,,,
3,2000-01-07,,1441.47,48.66,635.79,0.07653470485537678,,,
4,2000-01-10,,1457.6,48.66,635.79,0.07653470485537678,,,
5,2000-01-11,,1438.56,48.66,635.79,0.07653470485537678,,,
6,2000-01-12,,1432.25,48.66,635.79,0.07653470485537678,,,
7,2000-01-13,,1449.68,48.66,635.79,0.07653470485537678,,,
8,2000-01-14,,1465.15,48.69,634.84,0.07669649045428768,,,
9,2000-01-17,,1465.15,48.69,634.84,0.07669649045428768,,,
10,2000-01-18,,1455.14,48.69,634.84,0.07669649045428768,,,
11,2000-01-19,,1455.9,48.95,633.33,0.07728988047305511,,,
12,2000-01-20,,1445.57,48.95,633.33,0.07728988047305511,,,
13,2000-01-21,,1441.36,48.95,633.33,0.07728988047305511,,,
14,2000-01-24,,1401.53,48.95,633.33,0.07728988047305511,,,
15,2000-01-25,,1410.03,49.0,634.48,0.07722859664607237,,,
16,2000-01-26,,1404.09,48.98,634.62,0.07718004475118968,,,
17,2000-01-27,,1398.56,48.97,634.57,0.07717036733536095,,,
18,2000-01-28,,1360.16,48.99,634.76,0.0771787762303863,,,
19,2000-01-31,,1394.46,49.0,635.02,0.07716292400239362,,,
20,2000-02-01,,1409.28,49.0,635.02,0.07716292400239362,,,
21,2000-02-02,,1409.12,49.0,635.02,0.07716292400239362,,,
22,2000-02-03,,1424.97,49.0,635.07,0.07715684885130772,,,
23,2000-02-04,,1424.37,49.0,635.07,0.07715684885130772,,,
24,2000-02-07,,1424.24,49.0,635.07,0.07715684885130772,,,
25,2000-02-08,,1441.72,49.0,635.07,0.07715684885130772,,,
26,2000-02-09,,1411.7,49.0,638.29,0.07676761346723276,,,
27,2000-02-10,,1416.83,49.0,638.29,0.07676761346723276,,,
28,2000-02-11,,1387.12,49.0,638.29,0.07676761346723276,,,
29,2000-02-14,,1389.94,49.0,638.29,0.07676761346723276,,,
30,2000-02-15,,1402.05,49.0,638.29,0.07676761346723276,,,
31,2000-02-16,,1387.67,49.0,638.29,0.07676761346723276,,,
32,2000-02-17,,1388.26,49.0,638.29,0.07676761346723276,,,
33,2000-02-18,,1346.09,49.0,638.29,0.07676761346723276,,,
34,2000-02-21,,1346.09,49.0,638.29,0.07676761346723276,,,
35,2000-02-22,,1352.17,49.01,638.34,0.07677726603377509,,,
36,2000-02-23,,1360.69,49.01,638.34,0.07677726603377509,,,
37,2000-02-24,,1353.43,49.01,638.34,0.07677726603377509,,,
38,2000-02-25,,1333.36,51.28,628.6,0.08157811008590518,,,
39,2000-02-28,,1348.05,51.31,628.65,0.08161934303666588,,,
40,2000-02-29,,1366.42,51.32,631.4,0.08127969591384226,,,
41,2000-03-01,,1379.19,51.24,631.43,0.08114913767163423,,,
42,2000-03-02,,1381.76,51.16,633.81,0.08071819630488633,,,
43,2000-03-03,,1409.17,51.17,634.05,0.08070341455721158,,,
44,2000-03-06,,1391.28,51.17,634.22,0.08068178234681972,,,
45,2000-03-07,,1355.62,51.16,635.28,0.08053141921672333,,,
46,2000-03-08,,1366.7,51.32,635.4,0.08076802014479069,,,
47,2000-03-09,,1401.69,51.38,635.72,0.08082174542251305,,,
48,2000-03-10,,1395.07,51.39,635.82,0.08082476172501651,,,
49,2000-03-13,,1383.62,51.38,637.82,0.08055564265780314,,,
50,2000-03-14,,1359.15,51.39,638.64,0.08046786922209696,,,
51,2000-03-15,,1392.15,51.36,639.03,0.08037181352988122,,,
52,2000-03-16,,1458.47,51.39,641.68,0.08008664755018079,,,
53,2000-03-17,,1464.47,51.65,643.58,0.08025420305167966,,,
54,2000-03-20,,1456.63,51.6,642.96,0.08025382605449795,,,
55,2000-03-21,,1493.87,51.32,643.1,0.07980096408023635,,,
56,2000-03-22,,1500.64,51.35,644.32,0.07969642413707474,,,
57,2000-03-23,,1527.35,51.85,641.86,0.08078085563830119,,,
58,2000-03-24,,1527.46,51.85,645.55,0.08031910773758812,,,
59,2000-03-27,,1523.86,51.77,647.16,0.07999567340379506,,,
60,2000-03-28,,1507.73,51.78,645.98,0.08015728041115824,,,
61,2000-03-29,,1508.52,51.89,645.06,0.08044212941431805,,,
62,2000-03-30,,1487.92,52.33,646.48,0.08094604628140081,,,
63,2000-03-31,,1498.58,52.36,648.28,0.08076756956870489,,,
64,2000-04-03,,1505.97,52.4,648.31,0.08082553099597416,,,
65,2000-04-04,,1494.73,52.4,648.31,0.08082553099597416,,,
66,2000-04-05,,1487.37,52.4,648.31,0.08082553099597416,,,
67,2000-04-06,,1501.34,52.4,648.31,0.08082553099597416,,,
68,2000-04-07,,1516.35,52.41,648.31,0.08084095571562987,,,
69,2000-04-10,,1504.46,52.41,648.31,0.08084095571562987,,,
70,2000-04-11,,1500.59,52.41,648.31,0.08084095571562987,,,
71,2000-04-12,,1467.17,52.41,648.31,0.08084095571562987,,,
72,2000-04-13,,1440.51,52.41,648.31,0.08084095571562987,,,
73,2000-04-14,,1356.56,52.36,649.0,0.08067796610169492,,,
74,2000-04-17,,1401.44,52.36,649.0,0.08067796610169492,,,
75,2000-04-18,,1441.61,52.36,649.0,0.08067796610169492,,,
76,2000-04-19,,1427.47,52.36,649.0,0.08067796610169492,,,
77,2000-04-20,,1434.54,52.34,648.99,0.08064839211698177,,,
78,2000-04-21,,1434.54,52.34,648.99,0.08064839211698177,,,
79,2000-04-24,,1429.86,52.34,648.99,0.08064839211698177,,,
80,2000-04-25,,1477.44,52.33,652.79,0.08016360544738738,,,
81,2000-04-26,,1460.99,52.33,652.79,0.08016360544738738,,,
82,2000-04-27,,1464.92,52.34,654.06,0.08002323945815369,,,
83,2000-04-28,,1452.43,52.34,654.06,0.08002323945815369,,,
84,2000-05-01,,1468.25,52.34,654.06,0.08002323945815369,,,
85,2000-05-02,,1446.29,52.34,654.06,0.08002323945815369,,,
86,2000-05-03,,1415.1,52.34,654.06,0.08002323945815369,,,
87,2000-05-04,,1409.57,52.34,654.06,0.08002323945815369,,,
88,2000-05-05,,1432.63,52.34,654.06,0.08002323945815369,,,
89,2000-05-08,,1424.17,52.34,654.06,0.08002323945815369,,,
90,2000-05-09,,1412.14,52.34,654.06,0.08002323945815369,,,
91,2000-05-10,,1383.05,52.34,654.06,0.08002323945815369,,,
92,2000-05-11,,1407.81,52.72,649.31,0.08119388273705934,,,
93,2000-05-12,,1420.96,53.79,656.98,0.08187463849736673,,,
94,2000-05-15,,1452.36,54.43,657.53,0.08277949295089197,,,
95,2000-05-16,,1466.04,54.48,658.74,0.08270334274524091,,,
96,2000-05-17,,1447.8,54.41,658.7,0.08260209503567632,,,
97,2000-05-18,,1437.21,54.36,658.18,0.08259138837400104,,,
98,2000-05-19,,1406.95,54.38,658.12,0.08262930772503495,,,
99,2000-05-22,,1400.72,54.4,658.1,0.08266220939067011,,,
100,2000-05-23,,1373.86,54.38,658.1,0.08263181887251178,,,
101,2000-05-24,,1399.05,54.38,658.12,0.08262930772503495,,,
102,2000-05-25,,1381.52,54.38,658.14,0.08262679673017899,,,
103,2000-05-26,,1378.02,54.38,658.14,0.08262679673017899,,,
104,2000-05-29,,1378.02,54.45,658.15,0.08273190002279117,,,
105,2000-05-30,,1422.45,54.42,658.49,0.0826436240489605,,,
106,2000-05-31,,1420.6,54.38,658.68,0.08255905750895731,,,
107,2000-06-01,,1448.81,54.38,658.67,0.08256031092960056,,,
108,2000-06-02,,1477.26,54.38,658.67,0.08256031092960056,,,
109,2000-06-05,,1467.63,54.36,658.59,0.0825399717578463,,,
110,2000-06-06,,1457.84,54.36,658.63,0.08253495892989994,,,
111,2000-06-07,,1471.36,54.36,658.63,0.08253495892989994,,,
112,2000-06-08,,1461.67,54.36,658.63,0.08253495892989994,,,
113,2000-06-09,,1456.95,54.34,662.4,0.08203502415458938,,,
114,2000-06-12,,1446.0,54.34,662.4,0.08203502415458938,,,
115,2000-06-13,,1469.44,54.39,662.61,0.08208448408566124,,,
116,2000-06-14,,1470.54,54.41,663.82,0.08196499050947545,,,
117,2000-06-15,,1478.73,54.42,663.84,0.08197758496023137,,,
118,2000-06-16,,1464.46,54.42,663.84,0.08197758496023137,,,
119,2000-06-19,,1486.0,54.42,663.84,0.08197758496023137,,,
120,2000-06-20,,1475.95,54.42,664.26,0.08192575196459218,,,
121,2000-06-21,,1479.13,54.43,664.28,0.08193833925453123,,,
122,2000-06-22,,1452.18,54.43,664.28,0.08193833925453123,,,
123,2000-06-23,,1441.48,54.43,664.28,0.08193833925453123,,,
124,2000-06-26,,1455.31,54.43,664.28,0.08193833925453123,,,
125,2000-06-27,,1450.55,54.43,664.28,0.08193833925453123,,,
126,2000-06-28,,1454.82,54.43,664.28,0.08193833925453123,,,
127,2000-06-29,,1442.39,54.43,664.28,0.08193833925453123,,,
128,2000-06-30,,1454.6,54.43,664.28,0.08193833925453123,,,
129,2000-07-03,,1469.54,54.09,656.04,0.08244924089994514,,,
130,2000-07-04,,1469.54,54.09,656.04,0.08244924089994514,,,
131,2000-07-05,,1446.23,54.09,656.04,0.08244924089994514,,,
132,2000-07-06,,1456.67,54.09,656.04,0.08244924089994514,,,
133,2000-07-07,,1478.9,54.09,656.04,0.08244924089994514,,,
134,2000-07-10,,1475.62,54.09,656.02,0.08245175451967929,,,
135,2000-07-11,,1480.88,53.97,657.72,0.08205619412515963,,,
136,2000-07-12,,1492.92,53.97,657.72,0.08205619412515963,,,
137,2000-07-13,,1495.84,53.97,657.72,0.08205619412515963,,,
138,2000-07-14,,1509.98,53.97,657.72,0.08205619412515963,,,
